"Graph Name","Density","Node Count","Edge Count","DFS Time (ms)","BFS Time (ms)","Start Node","BFS_Mean","DFS_Mean","Diff","Log_Diff","Log_Ratio","Ratio","Speedup"
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_198.txt",0.00630193337701988,1423,12752,1.425,1.609,998,1.594,1.4128,-0.1812,-0.120673029500465,-0.120673029500465,0.886323713927227,1.12825594563986
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_8.txt",0.00773109993752045,1160,10394,1.154,1.315,658,1.2982,1.1544,-0.1438,-0.117397961139707,-0.117397961139707,0.889231243259898,1.12456687456687
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_439.txt",0.00849677995110462,1058,9502,1.064,1.2,1017,1.191,1.0688,-0.1222,-0.108256766572919,-0.108256766572919,0.897397145256087,1.11433383233533
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_425.txt",0.0081072118738065,1107,9926,1.095,1.267,538,1.2556,1.0996,-0.156,-0.132667068676708,-0.132667068676708,0.875756610385473,1.14186977082575
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_280.txt",0.00704566184546081,1270,11355,1.265,1.441,934,1.4218,1.258,-0.1638,-0.122400516234997,-0.122400516234997,0.884793923195949,1.1302066772655
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_383.txt",0.00602533787448207,1488,13332,1.475,1.674,1445,1.6686,1.4816,-0.187,-0.118862366576059,-0.118862366576059,0.88793000119861,1.12621490280778
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_394.txt",0.00847864600663687,1055,9428,1.052,1.203,235,1.1848,1.0498,-0.135,-0.12097431413539,-0.12097431413539,0.886056718433491,1.12859592303296
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_231.txt",0.00780310478063056,1146,10239,1.153,1.335,666,1.308,1.144,-0.164,-0.133968360077401,-0.133968360077401,0.874617737003058,1.14335664335664
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_365.txt",0.00603073202388398,1487,13326,1.484,1.676,252,1.6686,1.4726,-0.196,-0.124955405533358,-0.124955405533358,0.882536257940789,1.13309792204265
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_177.txt",0.00645468287550277,1397,12588,1.401,1.593,403,1.5694,1.4008,-0.1686,-0.113649878721731,-0.113649878721731,0.892570409073531,1.1203597944032
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_498.txt",0.00600437023826496,1494,13393,1.472,1.711,660,1.6696,1.4808,-0.1888,-0.120001594503703,-0.120001594503703,0.886919022520364,1.12749864937871
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_316.txt",0.00670737177330732,1336,11963,1.329,1.518,1079,1.494,1.3302,-0.1638,-0.116127779842442,-0.116127779842442,0.890361445783133,1.12313937753721
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_199.txt",0.00671473591496231,1339,12030,1.33,1.528,107,1.5108,1.328,-0.1828,-0.128965260801923,-0.128965260801922,0.879004500926661,1.13765060240964
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_389.txt",0.0063594024727891,1413,12688,1.403,1.627,101,1.5878,1.4018,-0.186,-0.124592285224789,-0.124592285224789,0.882856782970147,1.1326865458696
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_168.txt",0.00680612033909987,1320,11850,1.314,1.525,668,1.4974,1.3098,-0.1876,-0.133855817012632,-0.133855817012632,0.874716174702818,1.14322797373645
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_225.txt",0.00875952743902439,1025,9194,1.051,1.196,99,1.1606,1.035,-0.1256,-0.114535686057039,-0.114535686057039,0.891780113734275,1.12135265700483
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_43.txt",0.00783440515934615,1148,10316,1.167,1.306,202,1.2896,1.158,-0.1316,-0.107637713619423,-0.107637713619423,0.897952853598015,1.11364421416235
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_465.txt",0.00856236690680078,1051,9449,1.063,1.213,854,1.1976,1.0562,-0.1414,-0.125641992832586,-0.125641992832586,0.881930527722111,1.13387615981822
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_301.txt",0.00704763742707421,1272,11394,1.279,1.444,38,1.4276,1.2696,-0.158,-0.117292822403806,-0.117292822403806,0.88932474082376,1.1244486452426
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_45.txt",0.0084225175946234,1066,9562,1.068,1.23,207,1.2102,1.0646,-0.1456,-0.128186493449564,-0.128186493449564,0.879689307552471,1.13676498215292
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_412.txt",0.00811467951490923,1099,9792,1.104,1.291,170,1.2514,1.1014,-0.15,-0.127680826735882,-0.127680826735882,0.880134249640403,1.13619030325041
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_123.txt",0.00834739428061862,1070,9548,1.107,1.222,213,1.2088,1.0714,-0.1374,-0.12066192751167,-0.12066192751167,0.88633355393779,1.12824341982453
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_464.txt",0.00675332207686348,1337,12063,1.352,1.543,779,1.5054,1.3414,-0.164,-0.115344798934795,-0.115344798934795,0.891058854789425,1.12226032503355
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_182.txt",0.00693018571830174,1299,11685,1.299,1.499,1255,1.4682,1.2954,-0.1728,-0.125217632927864,-0.125217632927865,0.88230486309767,1.13339509031959
"/home/kate/Documents/Grado IE/Q4/Comparativa-BFS-DFS/app/build/generator/resources/graph_27.txt",0.00695449269609877,1290,11564,1.32,1.484,235,1.4478,1.2958,-0.152,-0.110916897843184,-0.110916897843184,0.89501312335958,1.11730205278592
