Graph Name,Density,Node Count,Edge Count,DFS Time (ms),BFS Time (ms),Start Node
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_0.txt,0.0070318119220449575,1277,11458,4.272,4.306,1276
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_152.txt,0.008152173913043478,1104,9927,3.67,3.782,118
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_484.txt,0.0067412276957227015,1326,11844,4.798,5.202,150
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_15.txt,0.008861176835654164,1016,9138,4.126,4.399,479
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_376.txt,0.007834383953282788,1147,10298,3.357,4.365,296
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_101.txt,0.008414439202427517,1064,9517,4,4.04,579
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_453.txt,0.008528051303716703,1053,9447,3.215,3.816,810
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_452.txt,0.007196156925540432,1250,11235,4.827,4.281,460
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_100.txt,0.0063817265230358185,1402,12535,5.019,5.628,902
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_377.txt,0.0072690845910199165,1242,11204,4.31,4.775,489
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_14.txt,0.008547686228191052,1048,9379,4.312,4.49,127
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_485.txt,0.006938486105152772,1296,11645,4.939,5.56,1146
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_153.txt,0.007912764072894483,1129,10077,4.17,4.751,628
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_1.txt,0.008601351115102419,1043,9348,3.785,4.114,546
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_456.txt,0.008019311515128053,1114,9943,4.201,4.201,757
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_104.txt,0.007060594608994096,1271,11397,4.081,4.361,1234
C:\Users\hpela\Desktop\Comparativa-BFS-DFS\build\generator\resources\resources\graph_373.txt,0.006061939766051497,1482,13305,5.184,4.9,1156
